0,19.6
5,19.64
10,19.65
15,19.67
20,19.67
25,19.68
30,19.68
35,19.69
40,19.69
45,19.69
50,19.7
55,19.7
60,19.7
65,19.7
70,19.69
75,19.7
80,19.7
85,19.69
90,19.7
95,19.7
100,19.69
105,19.69
110,19.68
115,19.68
120,19.68
125,19.68
130,19.68
135,19.68
140,19.68
145,19.67
150,19.67
155,19.67
160,19.66
165,19.67
170,19.66
175,19.66
180,19.65
185,19.65
190,19.65
195,19.65
200,19.65
205,19.65
210,19.64
215,19.64
220,19.64
225,19.63
230,19.63
235,19.63
240,19.64
245,19.63
250,19.63
255,19.63
260,19.63
265,19.63
270,19.63
275,19.62
280,19.62
285,19.62
290,19.62
295,19.62
300,19.62
305,19.61
310,19.61
315,19.61
320,19.61
325,19.61
330,19.61
335,19.64
340,19.73
345,19.91
350,20.15
355,20.42
360,20.81
365,21.19
370,21.58
375,22.02
380,22.39
385,22.76
390,23.15
395,23.46
400,23.78
405,24.08
410,24.29
415,24.48
420,24.69
425,24.86
430,24.97
435,25.08
440,25.16
445,25.25
450,25.33
455,25.4
460,25.46
465,25.55
470,25.59
475,25.65
480,25.68
485,25.7
490,25.75
495,25.8
500,25.82
505,25.85
510,25.87
515,25.89
520,25.91
525,25.93
530,25.95
535,25.97
540,26
545,26.01
550,26.03
555,26.03
560,26.05
565,26.06
570,26.08
575,26.09
580,26.09
585,26.1
590,26.11
595,28.12
600,26.12
605,26.13
610,26.13
615,26.14
620,26.14
625,26.14
630,26.15
635,26.15
640,26.15
645,26.16
650,26.16
655,26.16
660,26.17
665,26.17
670,26.17
675,26.18
680,26.17
685,26.17
690,26.18
695,26.18
700,26.18
705,26.18
710,26.18
715,26.18
720,26.18
725,26.18
730,26.18
735,26.18
740,26.17
745,26.17
750,26.17
755,26.17
760,26.17
765,26.17
770,26.17
775,26.17
780,26.17
785,26.17
790,26.17
795,26.17
800,26.17
805,26.16
